label,area,perimeter,y,x,radius
2,157,55.4558441227157,11.904458598726114,72.22292993630573,7.1
3,89,32.48528137423857,13.123595505617978,108.08988764044943,5.3
4,111,36.72792206135785,11.792792792792794,131.25225225225225,5.9
5,119,39.31370849898476,11.0,154.2016806722689,6.2
6,109,35.89949493661167,16.06422018348624,97.09174311926606,5.9
7,120,38.72792206135785,21.866666666666667,60.65833333333333,6.2
8,103,36.14213562373095,22.805825242718445,168.38834951456312,5.7
9,109,36.14213562373095,24.954128440366972,154.10091743119267,5.9
10,112,36.48528137423857,27.964285714285715,81.88392857142857,6.0
11,119,38.14213562373095,28.88235294117647,120.99159663865547,6.2
12,138,42.14213562373095,32.34057971014493,34.93478260869565,6.6
13,119,37.31370849898476,31.54621848739496,143.0252100840336,6.2
14,108,35.89949493661167,37.879629629629626,68.17592592592592,5.9
15,109,35.89949493661167,39.99082568807339,169.07339449541286,5.9
17,100,42.970562748477136,42.25,12.3,5.6
18,119,37.89949493661167,44.1764705882353,128.56302521008402,6.2
19,110,35.89949493661166,47.03636363636364,95.95454545454545,5.9
20,110,35.89949493661166,47.95454545454545,109.96363636363637,5.9
21,118,37.31370849898476,51.5,163.0,6.1
22,120,37.31370849898476,53.0,62.5,6.2
23,110,35.89949493661166,53.95454545454545,83.03636363636363,5.9
24,111,36.72792206135785,57.85585585585586,27.26126126126126,5.9
25,109,35.31370849898476,59.0,147.0,5.9
26,118,37.31370849898476,63.347457627118644,115.85593220338983,6.1
27,114,37.55634918610404,69.15789473684211,18.79824561403509,6.0
28,100,34.48528137423857,70.0,100.43,5.6
29,109,35.89949493661166,72.23853211009174,85.06422018348624,5.9
31,109,35.89949493661166,76.1559633027523,137.8440366972477,5.9
32,109,36.48528137423857,76.74311926605505,42.091743119266056,5.9
33,271,59.55634918610404,80.01845018450184,165.56826568265683,9.3
34,100,33.89949493661166,88.09,52.42,5.6
35,109,35.31370849898476,89.0,94.0,5.9
36,127,40.14213562373095,91.84251968503936,64.49606299212599,6.4
38,112,36.48528137423857,92.125,146.95535714285714,6.0
40,112,36.72792206135786,96.13392857142857,132.10714285714286,6.0
41,100,34.48528137423857,98.56,15.73,5.6
42,105,35.89949493661167,101.57142857142857,36.17142857142857,5.8
43,104,35.071067811865476,101.42307692307692,104.91346153846153,5.8
44,106,36.72792206135785,102.15094339622641,160.93396226415095,5.8
45,113,37.071067811865476,104.07964601769912,49.991150442477874,6.0
46,113,36.48528137423857,107.0,92.15929203539822,6.0
47,108,35.31370849898476,108.19444444444444,70.02777777777777,5.9
48,91,33.55634918610404,109.25274725274726,174.78021978021977,5.4
49,84,33.31370849898476,113.02380952380952,136.25,5.2
52,89,34.071067811865476,118.07865168539325,16.168539325842698,5.3
53,107,37.31370849898476,119.53271028037383,144.38317757009347,5.8
54,106,36.14213562373095,120.01886792452831,180.35849056603774,5.8
55,108,35.89949493661166,120.89814814814815,53.870370370370374,5.9
56,109,35.31370849898476,121.0,114.0,5.9
59,126,38.14213562373095,125.71428571428571,166.5,6.3
60,112,36.72792206135786,128.89285714285714,13.133928571428571,6.0
62,149,51.79898987322333,127.91946308724832,29.073825503355703,6.9
63,114,38.142135623730944,130.74561403508773,78.03508771929825,6.0
64,130,41.79898987322333,136.33846153846153,128.33846153846153,6.4
65,109,37.106601717798206,136.9908256880734,152.9816513761468,5.9
66,101,34.48528137423857,136.95049504950495,176.53465346534654,5.7
67,124,39.55634918610404,139.8951612903226,63.943548387096776,6.3
68,115,36.72792206135785,142.18260869565216,35.45217391304348,6.1
69,120,38.14213562373095,142.46666666666667,91.16666666666667,6.2
70,105,36.14213562373095,146.75238095238095,168.32380952380953,5.8
71,109,35.89949493661167,147.06422018348624,48.0,5.9
72,115,38.62741699796952,148.31304347826088,18.452173913043477,6.1
73,110,37.31370849898476,151.6909090909091,72.92727272727272,5.9
74,106,36.48528137423857,153.1320754716981,113.31132075471699,5.8
76,99,35.071067811865476,162.41414141414143,54.54545454545455,5.6
78,111,35.89949493661166,163.0810810810811,176.0810810810811,5.9
79,72,32.48528137423857,165.06944444444446,13.680555555555555,4.8
80,108,35.89949493661166,166.19444444444446,70.10185185185185,5.9
81,117,36.72792206135786,165.6153846153846,133.10256410256412,6.1
82,106,34.72792206135786,168.11320754716982,117.88679245283019,5.8
84,109,36.97056274847714,170.59633027522935,38.85321100917431,5.9
85,111,37.31370849898476,173.45945945945945,165.3063063063063,5.9
87,94,33.65685424949238,174.14893617021278,27.117021276595743,5.5
88,111,35.89949493661166,176.9189189189189,13.08108108108108,5.9
89,109,35.89949493661166,175.14678899082568,54.1651376146789,5.9
90,108,35.31370849898476,177.9537037037037,79.97222222222223,5.9
